time,dev_id,power,freq,temp,rated_freq
1715011232,0,109.7,1000,40,1000
1715011242,0,130.1,1000,41,1000
1715011253,0,128.0,1000,40,1000
1715011263,0,71.6,1000,41,1000
1715011274,0,155.5,1000,41,1000
1715011284,0,163.3,1000,41,1000
1715011295,0,73.9,1000,41,1000
1715011305,0,71.6,1000,42,1000
1715011316,0,160.8,1000,42,1000
1715011326,0,71.6,1000,41,1000
1715011337,0,74.7,1000,41,1000
1715011347,0,127.9,1000,40,1000
1715011357,0,74.8,1000,40,1000
1715011368,0,127.4,1000,40,1000
1715011378,0,73.9,1000,40,1000
1715011389,0,158.6,1000,39,1000
1715011399,0,165.8,1000,41,1000
1715011410,0,160.7,1000,40,1000
1715011420,0,157.9,1000,42,1000
1715011431,0,159.6,1000,41,1000
1715011441,0,157.9,1000,41,1000
1715011452,0,129.9,1000,41,1000
1715011462,0,160.1,1000,41,1000
1715011473,0,160.3,1000,41,1000
1715011483,0,73.8,1000,41,1000
1715011493,0,155.6,1000,42,1000
1715011504,0,126.5,1000,41,1000
1715011514,0,71.6,1000,40,1000
1715011525,0,159.6,1000,42,1000
1715011535,0,74.0,1000,41,1000
1715011546,0,169.8,1000,40,1000
1715011556,0,159.1,1000,40,1000
1715011567,0,165.2,1000,41,1000
1715011577,0,162.4,1000,41,1000
1715011588,0,155.5,1000,41,1000
1715011598,0,74.1,1000,41,1000
1715011609,0,74.0,1000,41,1000
1715011619,0,134.2,1000,41,1000
1715011630,0,141.2,1000,41,1000
1715011640,0,74.3,1000,41,1000
1715011650,0,153.4,1000,41,1000
1715011661,0,161.8,1000,41,1000
1715011671,0,167.7,1000,41,1000
1715011682,0,165.8,1000,41,1000
1715011692,0,160.5,1000,41,1000
1715011703,0,149.1,1000,40,1000
1715011713,0,156.0,1000,40,1000
1715011724,0,158.6,1000,40,1000
1715011734,0,73.9,1000,40,1000
1715011745,0,139.9,1000,40,1000
1715011755,0,121.6,1000,41,1000
1715011765,0,74.1,1000,41,1000
1715011776,0,71.7,1000,41,1000
1715011786,0,72.2,1000,41,1000
1715011797,0,164.4,1000,41,1000
1715011807,0,156.8,1000,42,1000
1715011818,0,156.4,1000,42,1000
1715011828,0,157.5,1000,41,1000
1715011839,0,161.5,1000,41,1000
1715011849,0,73.7,1000,41,1000
1715011860,0,75.0,1000,41,1000
1715011870,0,158.0,1000,41,1000
1715011881,0,155.7,1000,40,1000
1715011891,0,127.5,1000,40,1000
1715011901,0,160.8,1000,40,1000
1715011912,0,160.0,1000,40,1000
1715011922,0,158.5,1000,41,1000
1715011933,0,160.1,1000,41,1000
1715011943,0,160.7,1000,42,1000
1715011954,0,128.3,1000,42,1000
1715011964,0,74.5,1000,42,1000
1715011975,0,74.1,1000,42,1000
1715011985,0,76.8,1000,41,1000
1715011996,0,158.8,1000,41,1000
1715012006,0,158.3,1000,40,1000
1715012016,0,164.0,1000,41,1000
1715012027,0,74.1,1000,41,1000
1715012037,0,160.4,1000,41,1000
1715012048,0,159.3,1000,40,1000
1715012058,0,158.1,1000,41,1000
1715012069,0,73.9,1000,41,1000
1715012079,0,74.7,1000,42,1000
1715012090,0,140.0,1000,41,1000
1715012100,0,136.4,1000,41,1000
1715012111,0,79.8,1000,41,1000
1715012121,0,163.2,1000,41,1000
1715012132,0,71.7,1000,41,1000
1715012142,0,74.1,1000,41,1000
1715012153,0,158.5,1000,41,1000
1715012163,0,164.9,1000,41,1000
1715012173,0,73.3,1000,41,1000
1715012184,0,156.8,1000,40,1000
1715012194,0,132.0,1000,40,1000
1715012205,0,165.5,1000,40,1000
1715012215,0,131.1,1000,40,1000
1715012226,0,71.6,1000,40,1000
1715012236,0,160.6,1000,41,1000
1715012247,0,149.7,1000,41,1000
1715012257,0,160.2,1000,40,1000
1715012268,0,159.8,1000,42,1000
1715012278,0,165.8,1000,42,1000
1715012289,0,96.3,1000,42,1000
1715012299,0,137.1,1000,41,1000
1715012309,0,140.3,1000,40,1000
1715012320,0,71.7,1000,41,1000
1715012330,0,111.8,1000,40,1000
1715012341,0,74.4,1000,40,1000
1715012351,0,127.8,1000,40,1000
1715012362,0,158.4,1000,41,1000
1715012372,0,159.7,1000,41,1000
1715012383,0,143.0,1000,40,1000
1715012393,0,140.6,1000,42,1000
1715012404,0,73.9,1000,40,1000
1715012414,0,154.5,1000,43,1000
1715012425,0,148.2,1000,42,1000
1715012435,0,163.7,1000,42,1000
1715012445,0,74.7,1000,42,1000
1715012456,0,156.1,1000,42,1000
1715012466,0,163.9,1000,41,1000
1715012477,0,161.4,1000,41,1000
1715012487,0,73.9,1000,40,1000
1715012498,0,71.3,1000,40,1000
1715012508,0,163.1,1000,40,1000
1715012519,0,135.6,1000,40,1000
1715012529,0,158.2,1000,40,1000
1715012540,0,159.4,1000,41,1000
1715012550,0,160.9,1000,41,1000
1715012561,0,74.7,1000,41,1000
1715012571,0,137.1,1000,41,1000
1715012581,0,73.8,1000,42,1000
1715012592,0,121.0,1000,42,1000
1715012602,0,145.0,1000,42,1000
1715012613,0,160.0,1000,41,1000
1715012623,0,114.2,1000,42,1000
1715012634,0,158.7,1000,42,1000
1715012644,0,155.2,1000,41,1000
1715012655,0,154.7,1000,40,1000
1715012665,0,129.6,1000,40,1000
1715012676,0,74.1,1000,39,1000
1715012686,0,71.9,1000,40,1000
1715012697,0,161.0,1000,41,1000
1715012707,0,71.9,1000,41,1000
1715012718,0,131.9,1000,42,1000
1715012728,0,74.4,1000,42,1000
1715012738,0,148.9,1000,41,1000
1715012749,0,166.5,1000,42,1000
1715012759,0,156.6,1000,41,1000
1715012770,0,71.9,1000,42,1000
1715012780,0,159.0,1000,42,1000
1715012791,0,166.4,1000,41,1000
1715012801,0,71.2,1000,40,1000
1715012812,0,168.9,1000,40,1000
1715012822,0,74.4,1000,40,1000
1715012833,0,157.7,1000,41,1000
1715012843,0,162.8,1000,40,1000
1715012853,0,164.2,1000,41,1000
1715012864,0,74.0,1000,40,1000
1715012874,0,159.4,1000,41,1000
1715012885,0,75.2,1000,42,1000
1715012895,0,161.0,1000,41,1000
1715012906,0,158.8,1000,42,1000
1715012916,0,153.8,1000,41,1000
1715012927,0,160.2,1000,42,1000
1715012937,0,140.7,1000,42,1000
1715012948,0,139.4,1000,41,1000
1715012958,0,71.5,1000,40,1000
1715012969,0,162.4,1000,40,1000
1715012979,0,74.1,1000,41,1000
1715012989,0,127.4,1000,40,1000
1715013000,0,71.6,1000,40,1000
1715013010,0,159.0,1000,40,1000
1715013021,0,160.1,1000,39,1000
1715013031,0,74.6,1000,41,1000
1715013042,0,74.0,1000,41,1000
1715013052,0,74.3,1000,41,1000
1715013063,0,165.5,1000,40,1000
1715013073,0,141.4,1000,42,1000
1715013084,0,74.1,1000,42,1000
1715013094,0,71.7,1000,42,1000
1715013105,0,159.2,1000,41,1000
1715013115,0,158.3,1000,42,1000
1715013125,0,143.9,1000,40,1000
1715013136,0,148.7,1000,40,1000
1715013146,0,113.8,1000,40,1000
1715013157,0,141.3,1000,40,1000
1715013167,0,148.6,1000,40,1000
1715013178,0,159.9,1000,40,1000
1715013188,0,71.7,1000,40,1000
1715013199,0,157.4,1000,41,1000
1715013209,0,74.5,1000,42,1000
1715013220,0,156.8,1000,42,1000
1715013230,0,164.4,1000,42,1000
1715013241,0,166.3,1000,42,1000
1715013251,0,72.1,1000,41,1000
1715013261,0,121.2,1000,41,1000
1715013272,0,72.0,1000,40,1000
1715013282,0,74.3,1000,41,1000
1715013293,0,71.4,1000,41,1000
1715013303,0,152.1,1000,41,1000
1715013314,0,71.5,1000,40,1000
1715013324,0,73.4,1000,40,1000
1715013335,0,129.4,1000,41,1000
1715013345,0,127.6,1000,41,1000
1715013356,0,71.5,1000,40,1000
1715013366,0,74.7,1000,41,1000
1715013377,0,109.8,1000,42,1000
1715013387,0,74.5,1000,41,1000
1715013398,0,160.2,1000,41,1000
1715013408,0,160.3,1000,41,1000
1715013418,0,159.9,1000,42,1000
1715013429,0,160.2,1000,42,1000
1715013439,0,143.5,1000,41,1000
1715013450,0,73.6,1000,40,1000
1715013460,0,154.4,1000,40,1000
1715013471,0,166.9,1000,41,1000
1715013481,0,162.9,1000,40,1000
1715013492,0,164.5,1000,40,1000
1715013502,0,158.0,1000,41,1000
1715013513,0,71.7,1000,41,1000
1715013523,0,74.3,1000,41,1000
1715013534,0,73.8,1000,41,1000
1715013544,0,123.0,1000,41,1000
1715013554,0,140.9,1000,41,1000
1715013565,0,76.7,1000,41,1000
1715013575,0,100.2,1000,42,1000
